Time,"output {channel=""blue_etalon"", units=""Amps""}",seconds,days,jd,amps,sams x axis,amps,fixed refderences JD offset
1.76E+12,0.311,1763268600,20408.20139,2460995.351,0.311,-4.648861111,0.311,
1.76E+12,0.311,1763268630,20408.20174,2460995.351,0.311,-4.648513889,0.311,
1.76E+12,0.311,1763268660,20408.20208,2460995.352,0.311,-4.648166667,0.311,
1.76E+12,0.311,1763268690,20408.20243,2460995.352,0.311,-4.647819445,0.311,
1.76E+12,0.31,1763268720,20408.20278,2460995.353,0.31,-4.647472222,0.31,
1.76E+12,0.311,1763268750,20408.20313,2460995.353,0.311,-4.647125,0.311,
1.76E+12,0.312,1763268780,20408.20347,2460995.353,0.312,-4.646777778,0.312,
1.76E+12,0.311,1763268810,20408.20382,2460995.354,0.311,-4.646430556,0.311,
1.76E+12,0.31,1763268840,20408.20417,2460995.354,0.31,-4.646083334,0.31,
1.76E+12,0.31,1763268870,20408.20451,2460995.354,0.31,-4.645736111,0.31,
1.76E+12,0.311,1763268900,20408.20486,2460995.355,0.311,-4.645388889,0.311,
1.76E+12,0.31,1763268930,20408.20521,2460995.355,0.31,-4.645041667,0.31,
1.76E+12,0.31,1763268960,20408.20556,2460995.355,0.31,-4.644694445,0.31,
1.76E+12,0.311,1763268990,20408.2059,2460995.356,0.311,-4.644347223,0.311,
1.76E+12,0.313,1763269020,20408.20625,2460995.356,0.313,-4.644,0.313,
1.76E+12,0.312,1763269050,20408.2066,2460995.356,0.312,-4.643652778,0.312,
1.76E+12,0.311,1763269080,20408.20694,2460995.357,0.311,-4.643305556,0.311,
1.76E+12,0.31,1763269110,20408.20729,2460995.357,0.31,-4.642958333,0.31,
1.76E+12,0.311,1763269140,20408.20764,2460995.357,0.311,-4.642611111,0.311,
1.76E+12,0.311,1763269170,20408.20799,2460995.358,0.311,-4.642263889,0.311,
1.76E+12,0.31,1763269200,20408.20833,2460995.358,0.31,-4.641916667,0.31,
1.76E+12,0.311,1763269230,20408.20868,2460995.358,0.311,-4.641569444,0.311,
1.76E+12,0.312,1763269260,20408.20903,2460995.359,0.312,-4.641222222,0.312,
1.76E+12,0.312,1763269290,20408.20938,2460995.359,0.312,-4.640875,0.312,
1.76E+12,0.31,1763269320,20408.20972,2460995.359,0.31,-4.640527778,0.31,
1.76E+12,0.312,1763269350,20408.21007,2460995.36,0.312,-4.640180556,0.312,
1.76E+12,0.313,1763269380,20408.21042,2460995.36,0.313,-4.639833333,0.313,
1.76E+12,0.312,1763269410,20408.21076,2460995.361,0.312,-4.639486111,0.312,
1.76E+12,0.311,1763269440,20408.21111,2460995.361,0.311,-4.639138889,0.311,
1.76E+12,0.312,1763269470,20408.21146,2460995.361,0.312,-4.638791667,0.312,
1.76E+12,0.311,1763269500,20408.21181,2460995.362,0.311,-4.638444445,0.311,
1.76E+12,0.311,1763269530,20408.21215,2460995.362,0.311,-4.638097222,0.311,
1.76E+12,0.311,1763269560,20408.2125,2460995.362,0.311,-4.63775,0.311,
1.76E+12,0.311,1763269590,20408.21285,2460995.363,0.311,-4.637402778,0.311,
1.76E+12,0.312,1763269620,20408.21319,2460995.363,0.312,-4.637055556,0.312,
1.76E+12,0.312,1763269650,20408.21354,2460995.363,0.312,-4.636708334,0.312,
1.76E+12,0.311,1763269680,20408.21389,2460995.364,0.311,-4.636361111,0.311,
1.76E+12,0.311,1763269710,20408.21424,2460995.364,0.311,-4.636013889,0.311,
